Date,Month,Hot metal to SMS,Production,Productivity,Wind Volume,HBT,Hot Blast Pressure (bar),O2 Enrichment (%),Oxygen Consumption,Iron Ore,Sinter Used,Pellet Used,Coke Used,PCI Used,Limestone,Coke Rate,PCI Coal Rate,Total Fuel Rate,Sinter Percent,Pellet Percent,Iron in Burden,Ore/Coke,Slag Rate,total slag generation,Furnace Availability,Performance Rate,Quality product rate,O E E,Status,Comment
17-04-2026,April,"9,110","9,110",2,"5,744",1095,4.28,6.56,"34,682",0,"5,464","9,715","2,057","1,749",529,382,169,551,36,64,57.93,6,356,3243.00,1,0.83,0.76,0.6308,Running,Normal and Stable Operation
18-04-2026,April,"9,850","9,850",2.1,"6,011",1097,4.3,6.80,"39,598",0,"5,893","10,477","1,845","2,023",553,374,181,555,36,64,57.83,7,365,3595.00,1,0.9,0.82,0.738,Running,Normal and Stable Operation
19-04-2026,April,"9,050","9,050",2,"5,751",1109,4.09,7.71,"36,279",0,"5,110","9,921","2,151","1,788",704,382,174,556,34,66,58.3,6,376,3403.00,1,0.82,0.78,0.6396,Running,Normal and Stable Operation
20-04-2026,April,"10,250","10,250",2.2,"6,019",1117,4.31,7.95,"39,307",0,"6,062","10,778","1,968","2,157",541,360,185,545,36,64,58.47,7,370,3793.00,1,0.93,0.71,0.6603,Running,Normal and Stable Operation
21-04-2026,April,"9,960","10,240",2.2,"5,950",1108,4.35,7.80,"40,825",0,"6,090","10,827","1,875","2,118",417,362,182,544,36,64,58.74,7,360,3686.00,1,0.93,0.84,0.7812,Running,Normal and Stable Operation
22-04-2026,April,"10,510","10,510",2.3,"5,988",1099,4.35,8.90,"41,701",0,"6,076","11,284","1,818","2,054",252,367,172,539,35,65,58.86,8,340,3573.00,1,0.96,0.97,0.9312,Running,Normal and Stable Operation
23-04-2026,April,"10,650","10,650",2.3,"5,981",1095,4,8.10,"42,046",0,"6,250","11,607","1,951","2,172",277,362,179,541,35,65,57.72,9,340,3621.00,1,0.97,0.84,0.8148,Running,Normal and Stable Operation
24-04-2026,April,"10,710","10,710",2.3,"6,066",1122,4.35,7.00,"42,842",0,"6,076","11,285","2,033","2,178",349,364,179,543,35,65,59.22,7,348,3727.00,1,0.97,0.85,0.8245,Running,Normal and Stable Operation
25-04-2026,April,"9,212","9,212",2,"5,816",1099,4.27,9.27,"35,379",0,"5,318","9,876","1,896","1,758",360,378,168,546,35,65,59.01,6,350,3224.00,1,0.84,0.93,0.7812,Running,Normal and Stable Operation
26-04-2026,April,"9,220","9,220",2,"5,810",1098,4.34,9.93,"38,172",0,"5,909","9,242","2,060","1,749",336,378,167,545,39,61,58.62,6,358,3301.00,1,0.84,0.94,0.7896,Running,Normal and Stable Operation
27-04-2026,April,"9,262","9,262",2,"5,864",1097,4.29,7.80,"35,421",0,"4,996","10,143","2,037","1,726",441,392,164,556,33,67,58.83,6,328,3038.00,1,0.84,0,0,Running,Normal and Stable Operation
28-04-2026,April,"9,515","9,515",2.1,"5,944",1100,4.24,8.50,"33,524",0,"5,673","10,085","2,847","1,808",356,387,167,554,36,64,58.16,5,360,3421.00,1,0.87,0,0,Running,Normal and Stable Operation
